Date,Open,High,Low,Close,Adj Close,Volume
5/4/2001,123.650002,127.349998,123.440002,127.339996,93.02317,12145300
5/7/2001,126.860001,127.379997,126.230003,126.239998,92.219627,7185200
5/8/2001,126.860001,127.099998,125.559998,126.18,92.175774,6952600
5/9/2001,125.25,126.550003,125.059998,125.650002,91.788628,9507400
5/10/2001,127.260002,127.5,125.769997,126.019997,92.058899,6872400
5/11/2001,126,126.489998,124.400002,125.150002,91.423393,7734400
5/14/2001,124.900002,125.440002,124.459999,125.400002,91.60601,7914000
5/15/2001,125.550003,126.5,124.849998,125.980003,92.029694,9782200
5/16/2001,124.839996,129.199997,124.620003,128.949997,94.199295,14909000
5/17/2001,129,130.080002,128.559998,129.149994,94.345413,11824600
5/18/2001,129.089996,129.740005,128.100006,129.740005,94.776436,6683100
5/21/2001,129.839996,131.839996,129.149994,131.649994,96.171707,11531500
5/22/2001,131.830002,132.089996,131.070007,131.479996,96.047501,8342700
5/23/2001,131.050003,131.050003,129.25,129.25,94.41848,12330800
5/24/2001,129.470001,130,128.550003,129.630005,94.696068,7902800
5/25/2001,129.649994,129.699997,127.900002,128.100006,93.578407,7425000
5/29/2001,128.220001,128.350006,126.900002,127.080002,92.833267,9003900
5/30/2001,126.589996,127.089996,125,125.300003,91.532959,10041800
5/31/2001,125.43,126.760002,125.260002,125.949997,92.007751,9874200
6/1/2001,126.199997,127.099998,125.120003,126.730003,92.577576,8848300
6/4/2001,126.800003,127.43,126.080002,127.339996,93.02317,5623500
6/5/2001,127.489998,129.229996,127.269997,128.800003,94.089745,9115400
6/6/2001,128.830002,128.830002,127.360001,127.730003,93.30809,12064900
6/7/2001,127.050003,128.350006,127,128.190002,93.644142,7355300
6/8/2001,127.699997,127.870003,126.139999,127,92.774796,8170600
6/11/2001,126.709999,126.989998,125.410004,126.099998,92.117348,7012200
6/12/2001,124.860001,126.739998,124.040001,125.879997,91.956665,9364400
6/13/2001,126.169998,126.580002,124.650002,124.800003,91.167686,7629400
6/14/2001,124.18,124.300003,121.75,122,89.122284,12603000
6/15/2001,120.910004,122.400002,120.400002,121.849998,89.265854,16821100
6/18/2001,121.650002,122.440002,120.910004,121.260002,88.833649,11368300
6/19/2001,122.379997,122.889999,120.889999,121.790001,89.221886,7732300
6/20/2001,121.190002,122.860001,121.099998,122.43,89.690758,8787200
6/21/2001,122.220001,124.309998,122.150002,123.82,90.709038,12259100
6/22/2001,123.489998,123.589996,122.160004,122.849998,89.998451,12212000
6/25/2001,123.279999,123.440002,121.5,121.720001,89.170631,8406800
6/26/2001,120.900002,122.389999,120.57,121.550003,89.046082,8005800
6/27/2001,121.599998,122.239998,120.910004,121.480003,88.994766,10105100
6/28/2001,122,123.940002,121.93,122.150002,89.485626,10269300
6/29/2001,122.800003,124.010002,122.260002,122.599998,89.815285,9824200
7/2/2001,122.800003,124.32,122.620003,124.129997,90.936165,8522200
